Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","27,713,543,518.30","7.35","27,713,543,518.30","73,151,758.00","378.85","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","27,400,886,658.27","7.27","27,400,886,658.27","144,694,971.00","189.37","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","13,080,393,163.36","3.47","13,080,393,163.36","89,395,798.00","146.32","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","11,707,109,794.80","3.11","11,707,109,794.80","24,318,882.00","481.40","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","7,885,426,946.03","2.09","7,885,426,946.03","58,414,897.00","134.99","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","7,269,573,792.80","1.93","7,269,573,792.80","21,883,124.00","332.20","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","6,777,728,276.00","1.80","6,777,728,276.00","49,690,090.00","136.40","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","6,637,622,900.22","1.76","6,637,622,900.22","27,187,773.00","244.14","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","6,440,499,544.35","1.71","6,440,499,544.35","17,955,615.00","358.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,879,218,752.48","1.29","4,879,218,752.48","9,120,376.00","534.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","4,646,833,130.82","1.23","4,646,833,130.82","7,851,237.00","591.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","4,415,468,345.76","1.17","4,415,468,345.76","28,612,418.00","154.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","4,076,165,255.26","1.08","4,076,165,255.26","39,829,639.00","102.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","4,062,859,573.74","1.08","4,062,859,573.74","4,318,378.00","940.83","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","4,021,883,262.03","1.07","4,021,883,262.03","15,819,861.00","254.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,606,310,886.92","0.96","3,606,310,886.92","23,708,572.00","152.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","3,507,639,493.47","0.93","3,507,639,493.47","23,209,419.00","151.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","3,357,119,215.44","0.89","3,357,119,215.44","8,191,692.00","409.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","3,078,730,996.40","0.82","3,078,730,996.40","9,898,820.00","311.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","2,770,690,737.72","0.74","2,770,690,737.72","4,487,748.00","617.39","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","2,564,824,362.10","0.68","2,564,824,362.10","4,362,985.00","587.86","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","2,526,630,807.57","0.67","2,526,630,807.57","24,983,989.00","101.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","2,513,935,008.00","0.67","2,513,935,008.00","17,468,800.00","143.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","2,406,894,411.50","0.64","2,406,894,411.50","17,378,299.00","138.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,265,592,027.44","0.60","2,265,592,027.44","13,553,434.00","167.16","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","2,231,317,233.36","0.59","2,231,317,233.36","38,319,032.00","58.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,209,005,131.95","0.59","2,209,005,131.95","9,589,777.00","230.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","2,193,198,388.64","0.58","2,193,198,388.64","14,051,758.00","156.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","2,081,968,517.44","0.55","2,081,968,517.44","4,362,976.00","477.19","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","2,070,222,403.62","0.55","2,070,222,403.62","6,210,543.00","333.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","2,063,117,589.75","0.55","2,063,117,589.75","68,067,225.00","30.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,011,825,474.14","0.53","2,011,825,474.14","7,175,353.00","280.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","1,976,389,553.25","0.52","1,976,389,553.25","4,804,175.00","411.39","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,970,158,984.70","0.52","1,970,158,984.70","15,907,622.00","123.85","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,927,869,451.65","0.51","1,927,869,451.65","40,122,153.00","48.05","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,873,035,863.76","0.50","1,873,035,863.76","3,799,878.00","492.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,853,055,735.30","0.49","1,853,055,735.30","41,233,995.00","44.94","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","1,801,239,776.49","0.48","1,801,239,776.49","15,499,869.00","116.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,770,607,982.69","0.47","1,770,607,982.69","17,085,863.00","103.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,686,934,814.85","0.45","1,686,934,814.85","40,522,095.00","41.63","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,672,113,029.12","0.44","1,672,113,029.12","55,588,864.00","30.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","1,666,421,910.00","0.44","1,666,421,910.00","18,015,372.00","92.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,591,642,457.40","0.42","1,591,642,457.40","2,757,380.00","577.23","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,577,100,555.58","0.42","1,577,100,555.58","36,023,311.00","43.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,562,965,922.56","0.41","1,562,965,922.56","41,392,106.00","37.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,439,701,507.24","0.38","1,439,701,507.24","6,469,987.00","222.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,431,349,596.80","0.38","1,431,349,596.80","15,284,032.00","93.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,405,475,463.73","0.37","1,405,475,463.73","10,988,003.00","127.91","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,404,043,301.40","0.37","1,404,043,301.40","5,266,479.00","266.60","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","1,402,899,318.11","0.37","1,402,899,318.11","8,969,371.00","156.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,369,575,674.80","0.36","1,369,575,674.80","8,939,789.00","153.20","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,363,746,323.10","0.36","1,363,746,323.10","2,008,670.00","678.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,343,715,645.54","0.36","1,343,715,645.54","11,790,082.00","113.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,331,271,130.41","0.35","1,331,271,130.41","12,061,893.00","110.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,328,987,431.32","0.35","1,328,987,431.32","6,000,756.00","221.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,328,410,363.52","0.35","1,328,410,363.52","3,203,768.00","414.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","1,273,682,246.34","0.34","1,273,682,246.34","10,715,819.00","118.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,269,912,586.80","0.34","1,269,912,586.80","6,537,180.00","194.26","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","1,252,892,060.10","0.33","1,252,892,060.10","5,022,618.00","249.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,252,895,736.24","0.33","1,252,895,736.24","5,582,568.00","224.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","1,234,906,837.04","0.33","1,234,906,837.04","8,267,989.00","149.36","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,162,819,848.56","0.31","1,162,819,848.56","19,924,946.00","58.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","1,160,059,155.80","0.31","1,160,059,155.80","14,330,564.00","80.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,153,464,029.76","0.31","1,153,464,029.76","5,769,628.00","199.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,147,311,327.40","0.30","1,147,311,327.40","70,387,198.00","16.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,126,032,214.30","0.30","1,126,032,214.30","11,277,238.00","99.85","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","1,104,488,383.38","0.29","1,104,488,383.38","3,246,013.00","340.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1,098,234,414.10","0.29","1,098,234,414.10","351,290.00","3,126.29","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,084,459,831.22","0.29","1,084,459,831.22","7,121,018.00","152.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,079,784,580.56","0.29","1,079,784,580.56","2,320,321.00","465.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","1,075,085,718.12","0.29","1,075,085,718.12","3,459,537.00","310.76","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,033,557,455.52","0.27","1,033,557,455.52","13,106,232.00","78.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","1,032,711,057.90","0.27","1,032,711,057.90","1,381,923.00","747.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,028,222,013.60","0.27","1,028,222,013.60","9,096,090.00","113.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,002,109,451.28","0.27","1,002,109,451.28","20,568,749.00","48.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","996,880,661.10","0.26","996,880,661.10","11,315,331.00","88.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","986,732,374.90","0.26","986,732,374.90","12,561,838.00","78.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","982,073,878.58","0.26","982,073,878.58","2,206,858.00","445.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","979,679,550.35","0.26","979,679,550.35","3,328,055.00","294.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","977,099,561.08","0.26","977,099,561.08","2,684,782.00","363.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","959,084,413.53","0.25","959,084,413.53","5,728,271.00","167.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","954,852,329.31","0.25","954,852,329.31","4,863,507.00","196.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","946,290,944.30","0.25","946,290,944.30","4,589,635.00","206.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","943,483,432.92","0.25","943,483,432.92","13,394,143.00","70.44","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","939,368,185.00","0.25","939,368,185.00","5,762,995.00","163.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","937,197,553.80","0.25","937,197,553.80","1,312,620.00","713.99","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","929,572,415.44","0.25","929,572,415.44","4,056,434.00","229.16","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","922,910,505.96","0.24","922,910,505.96","12,267,852.00","75.23","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","910,223,069.84","0.24","910,223,069.84","4,043,998.00","225.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","902,003,093.42","0.24","902,003,093.42","4,936,802.00","182.71","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","891,947,862.00","0.24","891,947,862.00","2,541,162.00","351.00","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","887,045,816.40","0.24","887,045,816.40","3,928,458.00","225.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","872,720,562.66","0.23","872,720,562.66","14,640,506.00","59.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","869,961,747.26","0.23","869,961,747.26","3,011,186.00","288.91","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","867,426,496.50","0.23","867,426,496.50","18,960,142.00","45.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","849,899,245.92","0.23","849,899,245.92","1,051,088.00","808.59","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","846,005,759.40","0.22","846,005,759.40","12,645,826.00","66.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","827,713,803.18","0.22","827,713,803.18","1,498,233.00","552.46","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","827,019,975.15","0.22","827,019,975.15","10,783,935.00","76.69","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","799,235,070.48","0.21","799,235,070.48","14,416,217.00","55.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","796,742,333.87","0.21","796,742,333.87","4,532,353.00","175.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","778,239,416.01","0.21","778,239,416.01","6,987,873.00","111.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","776,455,070.16","0.21","776,455,070.16","6,002,281.00","129.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","766,092,818.67","0.20","766,092,818.67","2,914,341.00","262.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","762,206,848.95","0.20","762,206,848.95","5,096,669.00","149.55","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","760,995,506.00","0.20","760,995,506.00","3,542,150.00","214.84","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","754,093,009.71","0.20","754,093,009.71","10,737,477.00","70.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","744,696,003.00","0.20","744,696,003.00","921,300.00","808.31","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","743,754,316.30","0.20","743,754,316.30","743,754,316.00","1.00","United States","-","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","736,441,869.67","0.20","736,441,869.67","2,675,927.00","275.21","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","732,483,617.28","0.19","732,483,617.28","1,346,304.00","544.07","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","729,654,940.80","0.19","729,654,940.80","17,472,580.00","41.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","725,805,135.51","0.19","725,805,135.51","13,992,773.00","51.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","706,493,881.08","0.19","706,493,881.08","5,732,667.00","123.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","688,336,960.75","0.18","688,336,960.75","7,588,325.00","90.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","673,206,767.87","0.18","673,206,767.87","2,856,323.00","235.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","654,539,930.55","0.17","654,539,930.55","1,400,355.00","467.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","652,467,714.18","0.17","652,467,714.18","2,709,246.00","240.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","643,354,809.60","0.17","643,354,809.60","1,997,376.00","322.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","637,557,109.32","0.17","637,557,109.32","2,329,231.00","273.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","635,001,613.98","0.17","635,001,613.98","5,634,942.00","112.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","633,893,434.68","0.17","633,893,434.68","8,139,361.00","77.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","626,792,706.58","0.17","626,792,706.58","19,753,946.00","31.73","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","626,714,887.37","0.17","626,714,887.37","10,811,021.00","57.97","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","616,027,027.86","0.16","616,027,027.86","3,629,239.00","169.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","606,503,080.40","0.16","606,503,080.40","1,328,012.00","456.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","596,753,930.36","0.16","596,753,930.36","4,544,273.00","131.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","594,187,938.19","0.16","594,187,938.19","271,429.00","2,189.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","588,538,752.77","0.16","588,538,752.77","1,219,997.00","482.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","582,907,945.28","0.15","582,907,945.28","2,187,436.00","266.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","580,389,739.02","0.15","580,389,739.02","3,936,981.00","147.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","579,306,490.96","0.15","579,306,490.96","15,329,624.00","37.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","579,193,352.54","0.15","579,193,352.54","594,691.00","973.94","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"FDX","FEDEX CORP","Industrials","Equity","578,501,548.49","0.15","578,501,548.49","2,278,193.00","253.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","562,269,578.67","0.15","562,269,578.67","1,553,703.00","361.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","552,542,164.00","0.15","552,542,164.00","1,050,800.00","525.83","United States","NASDAQ","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","546,270,816.75","0.14","546,270,816.75","2,231,225.00","244.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","541,475,823.00","0.14","541,475,823.00","2,469,110.00","219.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","540,799,874.44","0.14","540,799,874.44","1,263,374.00","428.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","535,857,212.52","0.14","535,857,212.52","4,384,366.00","122.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","535,151,954.90","0.14","535,151,954.90","5,434,670.00","98.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","530,923,957.68","0.14","530,923,957.68","4,197,691.00","126.48","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","529,594,404.66","0.14","529,594,404.66","5,872,637.00","90.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","527,671,609.36","0.14","527,671,609.36","2,295,422.00","229.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","524,692,864.96","0.14","524,692,864.96","1,644,599.00","319.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","524,660,868.90","0.14","524,660,868.90","14,115,170.00","37.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","519,935,870.28","0.14","519,935,870.28","2,122,014.00","245.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","519,103,414.94","0.14","519,103,414.94","3,921,313.00","132.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","518,661,464.16","0.14","518,661,464.16","2,538,352.00","204.33","United States","NASDAQ","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","517,718,558.28","0.14","517,718,558.28","543,354.00","952.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","500,616,949.50","0.13","500,616,949.50","2,248,650.00","222.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","499,394,444.72","0.13","499,394,444.72","2,466,389.00","202.48","United States","NASDAQ","USD","1.00","USD","-"
"LULU","LULULEMON ATHLETICA INC","Consumer Discretionary","Equity","499,047,886.15","0.13","499,047,886.15","1,138,469.00","438.35","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","496,911,274.07","0.13","496,911,274.07","5,626,897.00","88.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","495,238,543.32","0.13","495,238,543.32","4,270,034.00","115.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
